temp,fatalities
255.55555555555557,4.0
255.8,2.0
256.6,35.0
258.2,3.0
258.6,9.0
259.0,1.0
259.6,10.0
260.09090909090907,27.0
260.4,370.0
260.6,2.0
261.0,3.0
261.1,6.0
261.2,25.0
261.3636363636364,28.0
261.4,3.0
261.6,161.0
261.8333333333333,203.0
262.2,54.0
262.27272727272725,17.0
262.4,23.0
262.5,0.0
262.6,5.0
262.6363636363636,20.0
262.77777777777777,1.0
262.8,3.0
262.8181818181818,44.0
262.90909090909093,7.0
263.0,26.0
263.2,15.0
263.3333333333333,47.0
263.4,11.0
263.44444444444446,6.0
263.6666666666667,473.0
263.7,42.0
263.75,135.0
263.8,150.0
263.90909090909093,28.0
264.0,40.0
264.1818181818182,20.0
264.2,63.0
264.22222222222223,10.0
264.25,4.0
264.4,17.0
264.4166666666667,21.0
264.45454545454544,21.0
264.5,307.0
264.54545454545456,18.0
264.6,29.0
264.625,1.0
264.6666666666667,77.0
264.7,4.0
264.8,3.0
264.90909090909093,55.0
265.0,19.0
265.1,46.0
265.2,1.0
265.3,6.0
265.375,130.0
265.4,14.0
265.45454545454544,18.0
265.5,5.0
265.54545454545456,54.0
265.6,9.0
265.6666666666667,7.0
265.7142857142857,3.0
265.8,17.0
265.9,32.0
266.0,108.0
266.09090909090907,4.0
266.125,12.0
266.2,4.0
266.22222222222223,569.0
266.25,77.0
266.27272727272725,17.0
266.3,34.0
266.4,24.0
266.45454545454544,0.0
266.6,26.0
266.75,4.0
266.77777777777777,7.0
266.8,10.0
266.8888888888889,57.0
267.0,17.0
267.0833333333333,85.0
267.1111111111111,20.0
267.2,16.0
267.22222222222223,9.0
267.25,26.0
267.3,4.0
267.4,91.0
267.5,106.0
267.6,10.0
267.625,44.0
267.6666666666667,25.0
267.72727272727275,3.0
267.75,7.0
267.8181818181818,95.0
267.875,28.0
267.8888888888889,1.0
267.90909090909093,40.0
268.0,2.0
268.09090909090907,1.0
268.1,1.0
268.125,34.0
268.1818181818182,143.0
268.2,5.0
268.3,14.0
268.4,40.0
268.45454545454544,6.0
268.5,25.0
268.54545454545456,66.0
268.55555555555554,15.0
268.57142857142856,109.0
268.6,3.0
268.6363636363636,38.0
268.6666666666667,7.0
268.7,12.0
268.8,70.0
268.8888888888889,7.0
268.9,27.0
269.0,240.0
269.1,17.0
269.1666666666667,30.0
269.1818181818182,52.0
269.2,67.0
269.22222222222223,2.0
269.25,325.0
269.2857142857143,117.0
269.3,27.0
269.3333333333333,5.0
269.3636363636364,1.0
269.4,1.0
269.44444444444446,11.0
269.5,257.0
269.6,4.0
269.7,7.0
269.72727272727275,3.0
269.75,64.0
269.77777777777777,0.0
269.8,9.0
269.8181818181818,3.0
269.8888888888889,3.0
269.9,4.0
269.9166666666667,21.0
270.0,37.0
270.1111111111111,20.0
270.1818181818182,36.0
270.2,4.0
270.25,1.0
270.3,13.0
270.3333333333333,15.0
270.3636363636364,56.0
270.4,77.0
270.44444444444446,68.0
270.45454545454544,7.0
270.5,2.0
270.54545454545456,2.0
270.6,6.0
270.7,22.0
270.75,59.0
270.77777777777777,2.0
270.8181818181818,124.0
270.8333333333333,1.0
270.875,4.0
270.8888888888889,10.0
270.9,26.0
270.90909090909093,169.0
270.9166666666667,5.0
271.0,198.0
271.0833333333333,12.0
271.09090909090907,3.0
271.1,3.0
271.1111111111111,6.0
271.1666666666667,1058.0
271.2,43.0
271.22222222222223,23.0
271.25,16.0
271.3,21.0
271.3333333333333,17.0
271.3636363636364,2.0
271.375,5.0
271.4,9.0
271.45454545454544,3.0
271.5,42.0
271.54545454545456,26.0
271.55555555555554,11.0
271.6,420.0
271.625,37.0
271.6363636363636,18.0
271.7,23.0
271.77777777777777,55.0
271.8,134.0
271.8181818181818,9.0
271.8888888888889,28.0
271.90909090909093,7.0
272.0,208.0
272.09090909090907,29.0
272.1,25.0
272.1111111111111,63.0
272.125,1.0
272.1818181818182,266.0
272.2,25.0
272.22222222222223,16.0
272.27272727272725,26.0
272.3,0.0
272.3333333333333,5.0
272.3636363636364,1.0
272.375,2.0
272.4,176.0
272.44444444444446,6.0
272.45454545454544,13.0
272.5,9.0
272.55555555555554,1.0
272.6,55.0
272.625,100.0
272.6363636363636,3.0
272.6666666666667,637.0
272.7,37.0
272.72727272727275,5.0
272.77777777777777,6.0
272.8,107.0
272.8181818181818,67.0
272.8333333333333,2.0
272.875,10.0
272.8888888888889,43.0
272.9,23.0
272.90909090909093,5.0
272.9166666666667,64.0
273.0,250.0
273.09090909090907,9.0
273.1,39.0
273.1111111111111,5.0
273.125,2.0
273.2,96.0
273.22222222222223,25.0
273.25,172.0
273.27272727272725,1.0
273.3,20.0
273.3333333333333,91.0
273.3636363636364,88.0
273.4,119.0
273.44444444444446,1.0
273.45454545454544,108.0
273.5,108.0
273.55555555555554,60.0
273.6,164.0
273.6363636363636,15.0
273.6666666666667,83.0
273.7,24.0
273.72727272727275,33.0
273.75,21.0
273.77777777777777,21.0
273.8,18.0
273.8181818181818,36.0
273.875,16.0
273.9,4.0
273.90909090909093,48.0
274.0,1290.0
274.0833333333333,300.0
274.09090909090907,21.0
274.1,49.0
274.1111111111111,34.0
274.125,74.0
274.1666666666667,7.0
274.1818181818182,25.0
274.2,91.0
274.22222222222223,14.0
274.25,275.0
274.27272727272725,21.0
274.3,23.0
274.3333333333333,108.0
274.3636363636364,463.0
274.375,66.0
274.4,194.0
274.4166666666667,16.0
274.42857142857144,11.0
274.44444444444446,84.0
274.45454545454544,63.0
274.5,382.0
274.54545454545456,6.0
274.55555555555554,2.0
274.5833333333333,185.0
274.6,510.0
274.625,33.0
274.6363636363636,2.0
274.6666666666667,35.0
274.7,81.0
274.7142857142857,6.0
274.72727272727275,12.0
274.75,75.0
274.77777777777777,35.0
274.8,207.0
274.8181818181818,366.0
274.8333333333333,144.0
274.85714285714283,6.0
274.875,1.0
274.8888888888889,71.0
274.9,46.0
274.90909090909093,66.0
275.0,158.0
275.09090909090907,50.0
275.1,57.0
275.1111111111111,13.0
275.125,3.0
275.1666666666667,15.0
275.1818181818182,27.0
275.2,118.0
275.22222222222223,35.0
275.25,169.0
275.27272727272725,90.0
275.3,31.0
275.3333333333333,65.0
275.3636363636364,62.0
275.375,15.0
275.4,16.0
275.4166666666667,4.0
275.44444444444446,121.0
275.45454545454544,5.0
275.5,124.0
275.54545454545456,87.0
275.55555555555554,20.0
275.6,436.0
275.6363636363636,66.0
275.6666666666667,52.0
275.7,55.0
275.72727272727275,32.0
275.75,42.0
275.77777777777777,334.0
275.8,156.0
275.8181818181818,82.0
275.8333333333333,60.0
275.875,29.0
275.8888888888889,33.0
275.9,27.0
275.90909090909093,90.0
275.9166666666667,2.0
276.0,596.0
276.0833333333333,11.0
276.09090909090907,16.0
276.1,126.0
276.1111111111111,186.0
276.125,3.0
276.1666666666667,101.0
276.1818181818182,165.0
276.2,36.0
276.22222222222223,15.0
276.25,128.0
276.27272727272725,50.0
276.3,357.0
276.3333333333333,67.0
276.3636363636364,97.0
276.375,1.0
276.4,181.0
276.4166666666667,7.0
276.44444444444446,53.0
276.45454545454544,152.0
276.5,295.0
276.54545454545456,140.0
276.55555555555554,21.0
276.57142857142856,16.0
276.5833333333333,2.0
276.6,264.0
276.625,5.0
276.6363636363636,70.0
276.6666666666667,270.0
276.7,180.0
276.72727272727275,39.0
276.75,9.0
276.77777777777777,98.0
276.8,159.0
276.8181818181818,22.0
276.8333333333333,11.0
276.85714285714283,6.0
276.875,9.0
276.8888888888889,2.0
276.9,66.0
276.90909090909093,162.0
276.9166666666667,10.0
277.0,738.0
277.0833333333333,40.0
277.09090909090907,29.0
277.1,246.0
277.1111111111111,7.0
277.125,58.0
277.1666666666667,96.0
277.1818181818182,87.0
277.2,551.0
277.22222222222223,188.0
277.25,185.0
277.27272727272725,76.0
277.3,77.0
277.3333333333333,192.0
277.3636363636364,275.0
277.375,21.0
277.4,598.0
277.42857142857144,21.0
277.44444444444446,23.0
277.45454545454544,119.0
277.5,340.0
277.54545454545456,19.0
277.55555555555554,99.0
277.57142857142856,4.0
277.6,102.0
277.625,59.0
277.6363636363636,149.0
277.6666666666667,354.0
277.7,185.0
277.7142857142857,4.0
277.72727272727275,30.0
277.75,83.0
277.77777777777777,179.0
277.8,278.0
277.8181818181818,21.0
277.8333333333333,131.0
277.85714285714283,11.0
277.875,70.0
277.8888888888889,41.0
277.9,531.0
277.90909090909093,86.0
277.9166666666667,16.0
278.0,413.0
278.0833333333333,22.0
278.09090909090907,287.0
278.1,182.0
278.1111111111111,125.0
278.125,30.0
278.1428571428572,3.0
278.1666666666667,61.0
278.1818181818182,43.0
278.2,210.0
278.22222222222223,87.0
278.25,217.0
278.27272727272725,90.0
278.2857142857143,29.0
278.3,109.0
278.3333333333333,180.0
278.3636363636364,34.0
278.375,36.0
278.4,218.0
278.4166666666667,16.0
278.44444444444446,59.0
278.45454545454544,93.0
278.5,519.0
278.54545454545456,216.0
278.55555555555554,56.0
278.57142857142856,19.0
278.6,254.0
278.625,123.0
278.6363636363636,214.0
278.6666666666667,134.0
278.7,202.0
278.72727272727275,190.0
278.75,71.0
278.77777777777777,45.0
278.8,331.0
278.8181818181818,82.0
278.8333333333333,24.0
278.85714285714283,3.0
278.875,18.0
278.8888888888889,58.0
278.9,181.0
278.90909090909093,177.0
278.9166666666667,4.0
279.0,1007.0
279.0833333333333,21.0
279.09090909090907,183.0
279.1,207.0
279.1111111111111,124.0
279.125,122.0
279.1428571428572,7.0
279.1666666666667,177.0
279.1818181818182,126.0
279.2,177.0
279.22222222222223,66.0
279.25,532.0
279.27272727272725,321.0
279.2857142857143,92.0
279.3,109.0
279.3333333333333,184.0
279.3636363636364,94.0
279.375,68.0
279.4,665.0
279.4166666666667,6.0
279.42857142857144,10.0
279.44444444444446,32.0
279.45454545454544,150.0
279.5,415.0
279.54545454545456,100.0
279.55555555555554,12.0
279.57142857142856,14.0
279.5833333333333,10.0
279.6,640.0
279.625,19.0
279.6363636363636,125.0
279.6666666666667,210.0
279.7,149.0
279.7142857142857,6.0
279.72727272727275,212.0
279.75,123.0
279.77777777777777,122.0
279.8,374.0
279.8181818181818,63.0
279.8333333333333,59.0
279.85714285714283,13.0
279.875,4.0
279.8888888888889,233.0
279.9,431.0
279.90909090909093,104.0
279.9166666666667,3.0
280.0,1692.0
280.0833333333333,3.0
280.09090909090907,205.0
280.1,344.0
280.1111111111111,147.0
280.125,662.0
280.1428571428572,15.0
280.1666666666667,150.0
280.1818181818182,250.0
280.2,1422.0
280.22222222222223,134.0
280.25,7558.0
280.27272727272725,836.0
280.3,319.0
280.3333333333333,366.0
280.3636363636364,107.0
280.375,46.0
280.4,3034.0
280.4166666666667,3.0
280.42857142857144,14.0
280.44444444444446,202.0
280.45454545454544,476.0
280.5,2496.0
280.54545454545456,397.0
280.55555555555554,435.0
280.57142857142856,13.0
280.5833333333333,5.0
280.6,369.0
280.625,171.0
280.6363636363636,5636.0
280.6666666666667,1126.0
280.7,196.0
280.7142857142857,1.0
280.72727272727275,265.0
280.75,260.0
280.77777777777777,255.0
280.8,720.0
280.8181818181818,380.0
280.8333333333333,44.0
280.85714285714283,6.0
280.875,18.0
280.8888888888889,218.0
280.9,573.0
280.90909090909093,1295.0
280.9166666666667,44.0
281.0,2038.0
281.0833333333333,204.0
281.09090909090907,275.0
281.1,932.0
281.1111111111111,200.0
281.125,154.0
281.1428571428572,33.0
281.1666666666667,118.0
281.1818181818182,168.0
281.2,1234.0
281.22222222222223,496.0
281.25,410.0
281.27272727272725,280.0
281.2857142857143,2.0
281.3,918.0
281.3333333333333,321.0
281.3636363636364,411.0
281.375,96.0
281.4,1202.0
281.4166666666667,27.0
281.42857142857144,15.0
281.44444444444446,698.0
281.45454545454544,241.0
281.5,1474.0
281.54545454545456,672.0
281.55555555555554,248.0
281.5833333333333,507.0
281.6,497.0
281.625,95.0
281.6363636363636,552.0
281.6666666666667,685.0
281.7,302.0
281.7142857142857,234.0
281.72727272727275,344.0
281.75,326.0
281.77777777777777,369.0
281.8,493.0
281.8181818181818,417.0
281.8333333333333,1350.0
281.85714285714283,19.0
281.875,223.0
281.8888888888889,2530.0
281.9,683.0
281.90909090909093,1113.0
281.9166666666667,50.0
282.0,2231.0
282.0833333333333,46.0
282.09090909090907,844.0
282.1,1308.0
282.1111111111111,301.0
282.125,395.0
282.1428571428572,15.0
282.1666666666667,80.0
282.1818181818182,325.0
282.2,811.0
282.22222222222223,452.0
282.25,268.0
282.27272727272725,886.0
282.2857142857143,19.0
282.3,758.0
282.3333333333333,4112.0
282.3636363636364,652.0
282.375,135.0
282.4,783.0
282.4166666666667,2595.0
282.42857142857144,13.0
282.44444444444446,8340.0
282.45454545454544,997.0
282.5,1287.0
282.54545454545456,356.0
282.55555555555554,272.0
282.57142857142856,25.0
282.5833333333333,786.0
282.6,889.0
282.625,94.0
282.6363636363636,4921.0
282.6666666666667,3249.0
282.7,517.0
282.7142857142857,26.0
282.72727272727275,828.0
282.75,811.0
282.77777777777777,732.0
282.8,1474.0
282.8181818181818,230.0
282.8333333333333,47.0
282.85714285714283,72.0
282.875,79.0
282.8888888888889,809.0
282.9,769.0
282.90909090909093,306.0
282.9166666666667,6.0
283.0,4031.0
283.0833333333333,27.0
283.09090909090907,1071.0
283.1,793.0
283.1111111111111,423.0
283.125,108.0
283.1428571428572,80.0
283.1666666666667,534.0
283.1818181818182,565.0
283.2,742.0
283.22222222222223,348.0
283.25,1113.0
283.27272727272725,608.0
283.2857142857143,17.0
283.3,487.0
283.3333333333333,751.0
283.3636363636364,677.0
283.375,255.0
283.4,636.0
283.4166666666667,404.0
283.42857142857144,2.0
283.44444444444446,958.0
283.45454545454544,235.0
283.5,1284.0
283.54545454545456,558.0
283.55555555555554,641.0
283.57142857142856,10.0
283.5833333333333,8.0
283.6,1020.0
283.625,238.0
283.6363636363636,889.0
283.6666666666667,472.0
283.7,1279.0
283.7142857142857,186.0
283.72727272727275,186.0
283.75,999.0
283.77777777777777,492.0
283.8,1733.0
283.8181818181818,498.0
283.8333333333333,55.0
283.85714285714283,5.0
283.875,251.0
283.8888888888889,836.0
283.9,1065.0
283.90909090909093,697.0
283.9166666666667,247.0
284.0,3532.0
284.0833333333333,56.0
284.09090909090907,652.0
284.1,646.0
284.1111111111111,520.0
284.125,117.0
284.1428571428572,89.0
284.1666666666667,2.0
284.1818181818182,711.0
284.2,693.0
284.22222222222223,588.0
284.25,1945.0
284.27272727272725,617.0
284.2857142857143,113.0
284.3,820.0
284.3333333333333,980.0
284.3636363636364,537.0
284.375,1136.0
284.4,1357.0
284.4166666666667,587.0
284.42857142857144,130.0
284.44444444444446,596.0
284.45454545454544,590.0
284.5,1503.0
284.54545454545456,632.0
284.55555555555554,667.0
284.57142857142856,38.0
284.5833333333333,6.0
284.6,793.0
284.625,146.0
284.6363636363636,771.0
284.6666666666667,513.0
284.7,4423.0
284.7142857142857,104.0
284.72727272727275,206.0
284.75,531.0
284.77777777777777,880.0
284.8,762.0
284.8181818181818,326.0
284.8333333333333,735.0
284.85714285714283,161.0
284.875,158.0
284.8888888888889,723.0
284.9,1032.0
284.90909090909093,393.0
284.9166666666667,145.0
285.0,3826.0
285.0833333333333,154.0
285.09090909090907,248.0
285.1,1560.0
285.1111111111111,702.0
285.125,477.0
285.1428571428572,23.0
285.1666666666667,120.0
285.1818181818182,231.0
285.2,1207.0
285.22222222222223,708.0
285.25,709.0
285.27272727272725,797.0
285.2857142857143,56.0
285.3,1753.0
285.3333333333333,291.0
285.3636363636364,404.0
285.375,156.0
285.4,623.0
285.4166666666667,27.0
285.42857142857144,190.0
285.44444444444446,517.0
285.45454545454544,364.0
285.5,1459.0
285.54545454545456,1658.0
285.55555555555554,1060.0
285.57142857142856,133.0
285.5833333333333,364.0
285.6,595.0
285.625,269.0
285.6363636363636,660.0
285.6666666666667,699.0
285.7,2624.0
285.7142857142857,40.0
285.72727272727275,1406.0
285.75,206.0
285.77777777777777,534.0
285.8,957.0
285.8181818181818,712.0
285.8333333333333,107.0
285.85714285714283,34.0
285.875,174.0
285.8888888888889,291.0
285.9,643.0
285.90909090909093,1394.0
285.9166666666667,103.0
286.0,4300.0
286.0833333333333,108.0
286.09090909090907,469.0
286.1,715.0
286.1111111111111,722.0
286.125,525.0
286.1428571428572,43.0
286.1666666666667,302.0
286.1818181818182,701.0
286.2,3369.0
286.22222222222223,786.0
286.25,473.0
286.27272727272725,158.0
286.2857142857143,119.0
286.3,3351.0
286.3333333333333,946.0
286.3636363636364,1081.0
286.375,752.0
286.4,1170.0
286.42857142857144,573.0
286.44444444444446,784.0
286.45454545454544,603.0
286.5,1741.0
286.54545454545456,269.0
286.55555555555554,3704.0
286.57142857142856,180.0
286.5833333333333,3484.0
286.6,1076.0
286.625,366.0
286.6363636363636,370.0
286.6666666666667,364.0
286.7,884.0
286.7142857142857,315.0
286.72727272727275,264.0
286.75,237.0
286.77777777777777,202.0
286.8,1483.0
286.8181818181818,515.0
286.8333333333333,33.0
286.85714285714283,62.0
286.875,267.0
286.8888888888889,603.0
286.9,449.0
286.90909090909093,1781.0
286.9166666666667,104.0
287.0,2356.0
287.0833333333333,225.0
287.09090909090907,525.0
287.1,1204.0
287.1111111111111,1390.0
287.125,537.0
